LOC,Business,Phone,Address,Town,Website,Instagram,Facebook,Category,SuperCat,DL Info,HDL?,Shoppers Discount,Exp.,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131T,New Leaf Cremation,855-770-3777,3930 Long Beach Rd.,Island Park,NewLeafCremation.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Experienced, local, affordable. Long Island's premier cremation & memorial services.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132T,Kleinberg Funeral Services,516-400-5580,3930 Long Beach Rd.,Island Park,KleinbergFunerals.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Funeral and cremation provider serving Oceanside and surrounding communities. Experts in Jewish funerals, green burials, monuments, pre-planning and travel plan.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133T,The Boland Group at AFN,516-660-0702,,Long Beach,JB-Mortgage.com,,,Live & Work,Live & Work,Originating mortgages for over 17 years. Whether buying a new home or refinancing your current mortgage give John a call today!,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134D,Joey’s Rod Building and Tackle,917-280-5155,495 Wood St.,Oceanside,JoeysRodBuilding.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,The highest quality of custom fishing rods and tackle. We are a complete one stop shop from boat outfitting  to building one rod at a time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135S,Liam's Legacy Athletic Association,516-987-0932,,Oceanside,LiamsLegacyAthletics.org,instagram.com/,facebook.com/,Gather & Connect,Gather & Connect,"Giving kids with disabilities the chance to play sports and have fun! A fully inclusive, state-of-the-art baseball complex where children and young adults of all abilities can play, connect, and thrive.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136T,Oceanside Community Warriors,516-987-0932,,Oceanside,,,facebook.com/OceansideWarriors,Gather & Connect,Gather & Connect,"To promote a strong community through voluntary involvement aimed at enriching Oceanside's parks, roads, and common areas.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137T,Squid City Apparel,516-987-0932,,Oceanside,SquidCityApparel.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"Squid City Apparel is a family-owned local brand creating high-quality and custom apparel designed to fit your lifestyle with comfort, creativity, and hometown pride.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138D,Steve's Wildlife,646-604-4001,,Oceanside,StevesWildlife.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Humane and effective removal of wildlife, birds, and rodents. Exclusion, repairs, and remediation services available 27/7 365 days a year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139T,Sharon Basiratmand - Signature Premier Properties,516-717-8349,75 Seaman Ave.,Rockville Centre,instagram.com/sharonbasiratmand,,,Live & Work,Live & Work,"With a passion for service in the Oceanside area, Sharon Basiratmand is ready to help with your homebuying and selling needs. Hard work, integrity, and outstanding client service.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140D,Luxe & Mane,516-208-7937,3029 Long Beach Rd.,Oceanside,instagram.com/luxe_mane_inc,instagram.com/luxe_mane_inc,facebook.com/,Thrive & Be Well,Thrive & Be Well,"Experience luxury and style at our modern salon—expert stylists, personalized care, and premium products to help you look and feel absolutely amazing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141D,Colori Bella Hair Studio,516-825-7500,221 Atlantic Ave.,Oceanside,ColoriBella.com,instagram.com/,facebook.com/,Thrive & Be Well,Thrive & Be Well,"""Our passion, your hair"" Redefining beauty since 2008. Expert hair color,  cuts, nails, hair extensions, formal hair, bridal, make-up, skin care, facials, microblading, wigs, and more for your flawless and confident look.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142S,Print Coat Wrap It,516-697-2498,3480C Hampton Rd.,Oceanside,instagram.com/printcoatwrapit,,,Live & Work,Live & Work,"The best vinyl wrap/ paint protection services on Long Island. Contact us for VINYL WRAP,  PAINT PROTECTION FILM, COMMERCIAL GRAPHIC WRAP, tint & CERAMIC COATING. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143S,Real Estate Homes LLC,516-484-2999,2850 Woods Ave.,Oceanside,RealEstateHomesNY.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"A family-owned, full-service real estate agency offering residential and commercial real estate sales and rentals, as well as property management services throughout NYC and Long Island.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144D,Legacy Financial,516-764-8800,2873 Long Beach Rd.,Oceanside,LoansByLegacy.com,,,Live & Work,Live & Work,"Get a great rate on a new mortgage! Take advantage of our expertise in the residential lending industry by applying today. A local, woman-owned and operated business since 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145T,Rose Ott Design,516-510-9665,675 E. Olive St.,Long Beach,RoseOttDesign.com,instagram.com/roseottdesign,facebook.com/,Live & Work,Live & Work,"We are an award winning, full service boutique interior design firm specializing in kitchens and baths.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146S,Non-Stop Safety Training & Consultants,917-337-7237,2869 Long Beach Rd.,Oceanside,NYCOSHASafetyTraining.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"WBE-certified construction safety consulting - safety courses & def. driver training - SSM, CSFSM, Lift Directors, Flaggers, OSHA 10 / 30hr, Hazwoper 40 hr & refresher, confined space, forklift training, cursos en espanol & more!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147S,East Rockaway Raiders Football and Cheerleading,516-581-5572,PO Box 3,East Rockaway,EastRockawayRaiders.com,instagram.com/,facebook.com/,Gather & Connect,Gather & Connect,"We provide an opportunity for boys and girls in both tackle football and cheerleading. Run by volunteers who not only teach the game, but also demonstrate respect and sportsmanship.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148T,Insieme Wines - Winery & Tasting Room,516-696-3300,3333 Lawson Blvd.,Oceanside,InsiemeWines.com,instagram.com/,facebook.com/,Eat & Drink,Eat & Drink,"Award-winning boutique winery, small-batch artisanal wines blending old-world tradition with new-world creativity. Reserve a spot in our charming tasting room or host a memorable private event. New customizable wine club - enjoy Insieme Wines your way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149T,Advanced Seamless Gutters & Leaders,516-313-7472,3230 Fulton Ave.,Oceanside,AdvancedGuttersNewYork.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Providing quality services at affordable prices for gutter repair, gutter installation, gutter cleaning, rain gutter repair and new gutter on Long Island.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150T,Modern Wire Electric Corp.,516-870-6071,,Oceanside,,instagram.com/modern_wire_electric,,Live & Work,Live & Work,"Comprehensive electrical services for both residential and commercial properties. Troubleshooting, repairs, and installation of electrical wiring, as well as lighting upgrades and ensuring your home meets current electrical codes.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151S,ECF Elite Martial Arts & Fitness,516-341-7555,2911 Long Beach Rd.,Oceanside,ECFMMAGym.com,instagram.com/,facebook.com/,Learn & Play,Learn & Play,"Join our Mixed Martial Arts gym located on Long Island. We have MMA classes along with kickboxing, muay-thai, jujutsu, and more!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152D,Laton Precision Painting,516-757-1762,,Oceanside,LatonPrecision.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Serving LI with expert residential painting and colour consultations. Precise, high-quality interior and exterior finishes with exceptional service and care. Your satisfaction is our priority!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153S,Carpet Depot,516-766-5263,2930 Long Beach Rd.,Oceanside,CarpetDepotInc.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"From a modest beginning in 1991 as a single carpet store, we've grown into a 5 store chain and a full service Shop-@-Home Division, serving Long Island and the NY metro area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154S,Hal Knopf Team at Compass,516-764-6060,2800 Long Beach Rd.,Oceanside,Compass.com,,,Live & Work,Live & Work,"The highest level of service in the Real Estate industry throughout the South Shore of LI. For over 38 years we have assured that every client is treated with honestly, integrity and professionalism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155T,Perfect 10 Home Improvements,516-322-4942,,Oceanside,facebook.com/Perfect10HomeImprovements/,,,Live & Work,Live & Work,"We do all phases of home improvements no job is too big or too small. Interior and exterior work any room or office.
",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156D,Best Skin and Body Aesthetics Spa,516-600-9853,310 Woods Ave.,Oceanside,BestSkinAndBodySpa.com,,,Thrive & Be Well,Thrive & Be Well,"An award-winning medispa, recognized for excellence in the industry! Our dedication to exceptional care has earned us top honors. Experience the best in beauty and skincare with our celebrated team today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157T,Ernie Schultz - Financial Advisor,516-263-8461,,Oceanside,,,,Live & Work,Live & Work,"Personalized financial planning, investment and retirement strategies to help you navigate your financial future with clarity and confidence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
